"Timestamp","TZ","J-Type TC 1 (degF)","IR 1 (F)","IR 2 (F)","IR 3 (F)","IR 4 (F)","IR 5 (F)","IR 6 (F)","IR 7 (F)","IR 8 (F)","IR 9 (F)","IR 10 (F)","RTD 1 (degF)","RTD 2 (degF)","RTD 3 (degF)","QPSH P2 (mA)","ASHCROFT P1 (mA)","IFM Water Flow 1 (gpm)","IFM Air Vel 1 (mA)","IFM Water Flow 2 (gpm)"
2022/09/29 14:47:15.001,n,98.797264,185.55292,172.6978,182.77424,215.76556,235.7708,181.1425,179.81196,191.46094,115.49548,64.021004,118.35562,91.608096,133.54446,291.15444,-11.31155,44.647152,266.62402,-12.46041
2022/09/29 14:47:20.008,n,98.645144,185.83016,172.19384,181.4199,214.43638,232.63598,180.36786,179.77628,190.80892,113.90694,65.592172,118.42478,91.612888,133.5704,288.45554,-11.31381,44.665696,267.03314,-12.462444
2022/09/29 14:47:25.001,n,98.666984,184.23632,171.51846,181.40214,213.672,230.3547,179.7987,179.78954,190.08774,113.87414,67.107376,118.5032,91.617784,133.5704,287.75858,-11.305334,44.6348,267.1762,-12.461472
2022/09/29 14:47:30.002,n,98.746976,184.41104,170.5855,179.9331,212.00444,228.06656,178.86558,179.08106,189.3973,69.99652,67.906024,118.58008,91.622632,133.70632,289.2199,-11.303228,44.669776,267.0263,-12.462376
2022/09/29 14:47:35.005,n,98.68996,183.25002,169.89546,179.30526,210.48384,225.78528,178.62332,179.83,188.70208,72.801632,68.677112,118.65958,91.624232,133.30084,288.54586,-11.303104,44.631724,266.85602,-12.462112
2022/09/29 14:47:40.048,n,98.557352,182.9986,169.88644,178.64124,209.06224,223.47636,177.40598,179.82098,189.03186,73.156704,68.587928,118.72776,91.632208,133.4635,248.8454,-11.297252,44.609104,267.0671,-12.45953
2022/09/29 14:47:45.009,n,98.405704,182.95826,169.01514,177.83746,206.81034,221.11496,176.718,179.32332,188.64412,73.99728,71.05928,118.77568,91.627472,133.62542,231.58082,-11.29952,44.615292,266.6991,-12.46146
2022/09/29 14:47:50.002,n,98.49128,181.48704,168.40974,176.48394,205.92578,220.34838,174.9438,179.85694,188.01946,74.805704,71.874272,118.83288,91.64036,133.4635,227.931,-11.298634,44.5669,267.08072,-12.461712
2022/09/29 14:47:55.001,n,98.54572,181.50494,168.23352,175.67362,205.14866,218.01814,175.06098,179.77176,187.13106,75.569984,72.9028,118.88856,91.632208,133.38178,198.16424,-11.300446,44.675964,266.77392,-12.46233
2022/09/29 14:48:00.005,n,98.549944,180.65892,168.3057,174.9032,206.87242,213.45652,175.83126,179.08106,187.15348,77.020592,73.327648,118.9397,91.627472,133.62542,181.60776,-11.30672,44.655384,266.73312,-12.463944
2022/09/29 14:48:05.001,n,98.495728,180.00486,167.5461,174.281,205.15742,212.40516,175.87638,178.24174,186.44294,77.757984,74.111824,119.00612,91.624232,133.62542,178.6668,-11.30302,44.572056,266.99908,-12.461392
2022/09/29 14:48:10.090,n,98.363584,180.61408,165.99762,177.9631,191.36714,222.61996,178.12472,193.84696,187.16688,78.167504,74.828936,119.05866,91.6452,133.70632,274.97184,-11.306624,44.773684,266.89682,-12.463944
2022/09/29 14:48:15.001,n,98.232744,179.29188,165.24826,177.24848,190.57638,219.6075,176.73592,193.12056,184.54556,79.294536,75.600872,119.11896,91.658088,133.895,271.00458,-11.304752,44.664648,266.73992,-12.462124
2022/09/29 14:48:20.002,n,98.019768,118.777,240.82214,212.27294,223.13402,183.24086,112.94856,200.68452,106.29978,83.328136,91.48876,119.12204,91.649992,134.1394,276.66544,-11.30521,44.767496,267.03314,-12.442758
2022/09/29 14:48:25.005,n,98.021376,286.23398,305.82534,315.48672,319.6528,459.102,288.40478,200.0272,268.55268,211.37896,214.87526,119.16224,91.637112,134.24706,277.39554,-11.303838,44.7274,266.86282,-12.429582
2022/09/29 14:48:30.001,n,98.125424,281.8334,301.08436,313.03356,295.96478,219.53272,287.63696,199.29382,248.58012,200.64448,69.55896,119.12056,91.60484,134.38148,278.39044,-11.314322,44.686272,266.78074,-12.430638
2022/09/29 14:48:35.008,n,98.143808,281.14666,301.95388,307.80408,294.57312,225.14626,286.37738,199.74268,255.44776,196.97672,68.752808,119.05408,91.61448,134.38148,278.87774,-11.319104,44.6173,266.80114,-12.434702
2022/09/29 14:48:40.001,n,98.255944,278.85006,283.87378,281.69354,299.0866,244.97962,284.7824,200.69328,270.45664,82.401536,68.701296,118.95976,91.633864,134.19288,280.60522,-11.315956,44.637916,266.5968,-12.434838
2022/09/29 14:48:45.011,n,98.290656,278.25738,281.5113,273.39758,297.57574,242.68234,282.61282,200.68452,269.86066,81.74584,69.528632,118.85452,91.672512,134.4365,280.3519,-11.317786,44.626604,266.35824,-12.437188
2022/09/29 14:48:50.004,n,98.242048,280.16556,280.72654,269.56686,297.57166,248.64054,278.07528,199.2669,281.68506,83.08696,70.3482,118.73696,91.716176,134.328,279.8458,-11.3173,44.576144,266.62402,-12.437416
2022/09/29 14:48:55.002,n,98.242496,275.85236,294.78696,297.6724,290.64576,328.86658,252.82332,202.30794,265.13486,83.638008,71.156992,118.6369,91.751568,134.27376,279.8547,-11.31543,44.598832,266.61722,-12.431868
2022/09/29 14:49:00.007,n,98.380176,280.89618,294.01914,294.16202,300.49018,329.69932,244.90622,202.09534,294.66556,118.72602,72.674384,118.5417,91.808016,134.48992,280.58494,-11.317564,44.5916,266.46054,-12.433108
2022/09/29 14:49:05.001,n,98.56108,281.8758,265.63126,234.31366,318.72696,438.80952,278.88834,208.37716,341.61148,113.9347,115.45844,118.45404,91.880584,134.6793,283.82052,-11.316096,44.580288,266.80796,-12.439754
2022/09/29 14:49:10.011,n,98.813152,255.93258,230.34156,293.67502,139.45764,492.47572,277.76162,224.19114,212.67368,116.36296,112.38076,118.38024,91.927216,135.00394,282.5629,-11.312968,44.562756,266.56962,-12.448264
2022/09/29 14:49:15.004,n,98.925584,256.50516,228.8821,281.29078,340.68412,475.13184,229.00856,187.14008,217.24446,113.91598,113.48368,118.27408,91.965984,134.97642,284.29368,-11.316456,44.597792,266.77392,-12.44937
2022/09/29 14:49:20.001,n,99.007896,254.07854,226.54638,277.62164,334.16714,464.49388,228.93458,185.7141,216.04734,113.91598,113.944,118.16642,91.9902,134.78702,286.92492,-11.313532,44.5998,266.6853,-12.44832
2022/09/29 14:49:25.008,n,98.877904,251.6697,223.44998,274.73852,328.0412,448.35904,228.96058,185.70946,215.68626,113.96724,114.70156,118.02942,92.019168,135.27348,286.242,-11.316636,44.569988,266.56962,-12.452742
2022/09/29 14:49:30.001,n,98.629472,249.03376,221.9335,266.39664,318.185,419.06144,225.98228,184.98006,213.33784,113.93948,114.3018,117.90474,92.041736,135.35446,285.46136,-11.314254,44.65228,266.4331,-12.45001
2022/09/29 14:49:35.010,n,98.597136,246.6934,218.69012,258.06594,309.75314,386.59032,223.63852,183.39356,212.81436,113.46042,114.7155,117.8261,92.056216,135.38196,285.4751,-11.315056,44.616328,266.6921,-12.45056
2022/09/29 14:49:40.004,n,98.48836,243.66972,218.0094,249.6773,301.25568,361.00492,221.4301,183.40246,212.12776,113.47902,115.449,117.78602,92.081936,135.1925,285.50638,-11.315526,44.59056,266.25602,-12.45017
2022/09/29 14:49:45.257,n,98.540208,242.8471,216.53612,244.24052,295.9313,343.39772,219.97582,183.42488,212.02192,113.21378,114.7341,117.77682,92.0804,135.1658,285.49766,-11.312886,44.597792,266.85602,-12.450342
2022/09/29 14:49:50.007,n,98.531824,242.04538,215.82284,238.94636,290.67526,333.50692,218.32126,183.42488,210.41768,113.8092,113.86032,117.78602,92.09972,135.24598,285.97788,-11.317038,44.598832,266.76716,-12.451724
2022/09/29 14:49:55.002,n,98.58604,240.51372,214.97656,234.27018,286.14566,323.50418,216.02532,183.10646,209.57466,113.92076,115.48154,117.8261,92.149656,135.1658,286.2369,-11.315388,44.579252,266.6991,-12.451632
2022/09/29 14:50:00.010,n,98.561832,239.42734,214.20368,228.93882,283.09134,318.02352,214.46714,182.69344,208.93866,113.6789,115.47702,117.8646,92.231752,135.00394,286.21058,-11.315112,44.6173,266.77392,-12.45296
2022/09/29 14:50:05.003,n,98.459704,238.31404,212.65604,225.16812,279.57358,315.7316,213.19266,182.66198,208.24454,113.91598,115.4259,117.92622,92.326728,134.92294,285.98038,-11.316288,44.554552,266.85602,-12.453876
2022/09/29 14:50:10.001,n,98.48788,237.53788,211.77544,221.64898,275.95846,313.4831,212.20704,182.05524,207.42162,113.21858,115.46294,117.98322,92.420104,134.94888,285.9603,-11.313866,44.558672,267.12156,-12.45161
2022/09/29 14:50:15.059,n,98.390768,235.82728,210.4133,218.36514,273.8363,310.3852,209.92344,182.06426,206.7528,113.85582,115.4352,118.0479,92.458704,135.02982,285.27984,-11.319714,44.517508,266.82836,-12.454126
2022/09/29 14:50:20.002,n,98.439216,235.09254,209.57904,214.53742,271.20516,306.45206,208.53192,182.05524,205.9523,113.9347,115.4397,118.11868,92.468336,135.08484,285.22222,-11.314986,44.543244,266.91044,-12.453258
2022/09/29 14:50:25.010,n,98.587944,234.392,208.7705,211.48464,269.24326,303.45698,206.98304,182.67552,205.1,112.34344,116.23322,118.20178,92.474784,135.13832,285.26734,-11.31586,44.635844,266.5968,-12.453692
2022/09/29 14:50:30.003,n,98.732928,232.84092,208.76174,209.15946,265.98196,301.20562,205.85072,182.66664,204.3531,113.92076,116.24716,118.2787,92.513384,135.13832,286.23818,-11.314752,44.645112,266.87644,-12.453876
2022/09/29 14:50:35.001,n,98.59924,232.12998,208.00556,206.47744,265.3573,296.4589,204.5653,182.06878,203.60552,113.48832,115.58832,118.34644,92.529512,135.1116,286.27844,-11.312774,44.653308,266.9787,-12.45312
2022/09/29 14:50:40.007,n,98.370232,231.39634,207.24894,203.76932,262.74856,293.44396,203.82688,182.0328,202.91496,113.17646,115.6024,118.4125,92.498904,135.08484,286.98002,-11.316968,44.661576,266.78754,-12.45518
2022/09/29 14:50:45.001,n,97.97168,230.57658,206.20388,200.79104,262.4367,288.0831,202.30794,182.66198,202.10846,113.16744,115.41194,118.47254,92.495704,135.27348,287.01138,-11.313492,44.696544,266.86282,-12.452548
2022/09/29 14:50:50.010,n,97.75444,229.8584,205.66984,198.8845,260.02264,285.23414,200.9108,182.01052,201.36362,113.16744,115.40266,118.53856,92.51184,135.30094,286.9938,-11.315638,44.544244,266.77392,-12.45447
2022/09/29 14:50:55.003,n,97.62412,229.83216,205.66096,197.06558,258.55976,281.51962,199.1958,181.523,200.65336,113.17646,115.40716,118.58316,92.550432,135.08484,287.24064,-11.314766,44.557632,266.7127,-12.453222
2022/09/29 14:51:00.143,n,97.637528,228.72964,204.919,194.7061,257.0903,277.82522,198.4269,181.29918,199.94282,112.45514,116.21914,118.62926,92.568104,134.94888,284.4834,-11.314364,44.610136,267.11474,-12.453784
2022/09/29 14:51:05.006,n,97.574096,228.98682,204.22048,192.40278,255.55058,274.04932,196.00424,181.30356,199.08028,113.22786,115.4259,118.6673,92.569704,135.1658,283.03208,-11.314944,44.551444,266.86282,-12.457608
2022/09/29 14:51:10.001,n,97.471376,227.1932,203.4684,190.99198,253.21038,269.4732,196.08872,181.3171,198.31164,113.20448,116.20082,118.70446,92.558416,134.86792,283.02704,-11.313658,44.5566,266.95102,-12.454996
2022/09/29 14:51:15.009,n,97.974328,227.5339,202.64028,189.37078,252.53074,266.46088,195.44424,180.9947,197.47384,113.19998,116.17278,118.71378,92.5408,134.76032,278.8255,-11.313312,44.4897,266.75354,-12.453864
2022/09/29 14:51:20.002,n,98.335256,225.31702,202.62702,187.94822,251.7602,261.07212,193.8825,181.30356,196.79926,113.86962,115.41194,118.70602,92.518224,134.4365,281.3043,-11.314032,44.59056,266.77392,-12.4562
2022/09/29 14:51:25.013,n,98.295992,225.86416,201.84704,185.69154,250.26422,256.5008,193.15638,181.28564,196.01764,112.4457,115.44448,118.67346,92.484472,134.70606,278.83054,-11.31363,44.603952,267.10794,-12.45423
2022/09/29 14:51:30.005,n,98.318376,222.8122,200.30692,184.30372,247.86644,252.68128,192.40278,181.28126,195.31094,112.99518,115.47224,118.65958,92.441024,134.4365,277.5723,-11.315306,44.604948,266.88324,-12.457012
2022/09/29 14:51:35.002,n,98.311304,223.25692,200.3292,182.76986,247.15032,248.08698,191.54584,181.15604,194.63472,113.1487,116.19604,118.6689,92.391152,134.46238,275.59784,-11.312578,44.681092,266.65806,-12.453978
2022/09/29 14:51:40.009,n,98.397688,222.51496,199.43602,180.67684,245.67948,244.30124,190.95618,181.16492,193.82466,113.18124,115.41194,118.68436,92.321888,134.62512,273.12274,-11.314848,44.6924,266.78754,-12.456828
